trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
181,2020-03-05 10:46:00,2020-03-05 11:38:00,Short,1.11665,1.11765,-0.001,SL,52.0
182,2020-03-05 13:02:00,2020-03-05 13:30:00,Short,1.1187,1.1197,-0.001,SL,28.0
183,2020-03-05 13:33:00,2020-03-05 13:41:00,Long,1.1193,1.1183,-0.001,SL,8.0
184,2020-03-05 13:45:00,2020-03-05 14:19:00,Short,1.11809,1.11909,-0.001,SL,34.0
185,2020-03-05 14:22:00,2020-03-05 15:14:00,Long,1.11866,1.11766,-0.001,SL,52.0
186,2020-03-05 15:56:00,2020-03-05 16:43:00,Long,1.11847,1.12047,0.002,TP,47.0
187,2020-03-05 17:17:00,2020-03-05 17:36:00,Short,1.11872,1.11972,-0.001,SL,19.0
188,2020-03-05 17:41:00,2020-03-05 19:35:00,Long,1.12042,1.11942,-0.001,SL,114.0
189,2020-03-05 20:00:00,2020-03-05 20:30:00,Long,1.12,1.122,0.002,TP,30.0
190,2020-03-05 22:12:00,2020-03-06 00:24:00,Short,1.1234,1.1214,0.002,TP,132.0
191,2020-03-06 00:44:00,2020-03-06 00:54:00,Long,1.12255,1.12155,-0.001,SL,10.0
192,2020-03-06 01:03:00,2020-03-06 01:54:00,Short,1.1222,1.1232,-0.001,SL,51.0
193,2020-03-06 02:37:00,2020-03-06 08:28:00,Short,1.12365,1.12465,-0.001,SL,351.0
194,2020-03-06 10:54:00,2020-03-06 11:09:00,Short,1.13115,1.13215,-0.001,SL,15.0
195,2020-03-06 12:05:00,2020-03-06 12:39:00,Short,1.13262,1.13062,0.002,TP,34.0
196,2020-03-06 13:04:00,2020-03-06 13:31:00,Long,1.13231,1.13131,-0.001,SL,27.0
197,2020-03-06 13:40:00,2020-03-06 13:42:00,Short,1.13144,1.13244,-0.001,SL,2.0
198,2020-03-06 14:10:00,2020-03-06 14:16:00,Long,1.1322,1.1342,0.002,TP,6.0
199,2020-03-06 15:22:00,2020-03-06 15:26:00,Short,1.13319,1.13119,0.002,TP,4.0
200,2020-03-06 16:08:00,2020-03-06 16:43:00,Long,1.13208,1.13108,-0.001,SL,35.0
201,2020-03-06 16:45:00,2020-03-06 16:59:00,Short,1.13089,1.13189,-0.001,SL,14.0
202,2020-03-06 17:09:00,2020-03-06 17:26:00,Long,1.13227,1.13127,-0.001,SL,17.0
203,2020-03-06 17:31:00,2020-03-06 17:44:00,Short,1.13095,1.12895,0.002,TP,13.0
204,2020-03-06 18:11:00,2020-03-06 18:22:00,Long,1.13074,1.12974,-0.001,SL,11.0
205,2020-03-06 18:31:00,2020-03-06 19:19:00,Short,1.1293,1.1303,-0.001,SL,48.0
206,2020-03-06 20:36:00,2020-03-06 21:47:00,Short,1.13109,1.12909,0.002,TP,71.0
207,2020-03-08 21:01:00,2020-03-08 22:38:00,Long,1.13426,1.13626,0.002,TP,97.0
208,2020-03-08 23:22:00,2020-03-08 23:26:00,Short,1.13753,1.13853,-0.001,SL,4.0
209,2020-03-08 23:36:00,2020-03-08 23:41:00,Long,1.13925,1.13825,-0.001,SL,5.0
210,2020-03-09 00:08:00,2020-03-09 00:10:00,Short,1.13716,1.13816,-0.001,SL,2.0
211,2020-03-09 01:21:00,2020-03-09 01:44:00,Long,1.13789,1.13989,0.002,TP,23.0
212,2020-03-09 02:37:00,2020-03-09 02:48:00,Short,1.14273,1.14073,0.002,TP,11.0
213,2020-03-09 03:44:00,2020-03-09 03:55:00,Long,1.14115,1.14015,-0.001,SL,11.0
214,2020-03-09 04:28:00,2020-03-09 05:09:00,Short,1.14026,1.14126,-0.001,SL,41.0
215,2020-03-09 05:11:00,2020-03-09 05:33:00,Long,1.14207,1.14107,-0.001,SL,22.0
216,2020-03-09 05:42:00,2020-03-09 06:09:00,Short,1.13922,1.14022,-0.001,SL,27.0
217,2020-03-09 06:19:00,2020-03-09 07:06:00,Long,1.14036,1.14236,0.002,TP,47.0
218,2020-03-09 08:00:00,2020-03-09 08:09:00,Short,1.14387,1.14187,0.002,TP,9.0
